"name","email","rollNo","schoolName","class","olympiadExam","password","userType"
"student1","student1@gmail.com","1","Delhi Public School","5","International Mathematics Olympiad","Xz9%AwL3@#","student"
"student2","student2@gmail.com","2","Delhi Public School","5","International Mathematics Olympiad","e$KbkRm8%a","student"
"student3","student3@gmail.com","3","Delhi Public School","5","International Mathematics Olympiad","ziWpvBgggj","student"
"student4","student4@gmail.com","4","Delhi Public School","5","International Mathematics Olympiad","SkL2EBjPUH","student"
"student5","student5@gmail.com","5","Delhi Public School","5","International Mathematics Olympiad","mJkq*JJHFz","student"
"student6","student6@gmail.com","6","Delhi Public School","5","International Mathematics Olympiad","*^@9rvGEgD","student"
"student7","student7@gmail.com","7","Delhi Public School","5","International Mathematics Olympiad","Cj2&fVu!WB","student"
"student8","student8@gmail.com","8","Delhi Public School","5","International Mathematics Olympiad","vXKK@RULA!","student"
"student9","student9@gmail.com","9","Delhi Public School","5","International Mathematics Olympiad","imSQ$5^QtT","student"
"student10","student10@gmail.com","10","Delhi Public School","5","International Mathematics Olympiad","B&A4Fz&W5m","student"
