"name","email","rollNo","schoolName","class","olympiadExam","password","userType"
"student1","student1@gmail.com","1","Delhi Public School","5","International Mathematics Olympiad","PzdJXhEmQ9","student"
"student2","student2@gmail.com","2","Delhi Public School","5","International Mathematics Olympiad","VsUhK#Htz4","student"
"student3","student3@gmail.com","3","Delhi Public School","5","International Mathematics Olympiad","s4s!Wp^#37","student"
"student4","student4@gmail.com","4","Delhi Public School","5","International Mathematics Olympiad","fj!jZmkLD$","student"
"student5","student5@gmail.com","5","Delhi Public School","5","International Mathematics Olympiad","d4QKKhwuVq","student"
"student6","student6@gmail.com","6","Delhi Public School","5","International Mathematics Olympiad","%#!Z*UJ^L3","student"
"student7","student7@gmail.com","7","Delhi Public School","5","International Mathematics Olympiad","4&tAEizk5*","student"
"student8","student8@gmail.com","8","Delhi Public School","5","International Mathematics Olympiad","pZ&vm9Xu$F","student"
"student9","student9@gmail.com","9","Delhi Public School","5","International Mathematics Olympiad","4w8TSh#fMK","student"
"student10","student10@gmail.com","10","Delhi Public School","5","International Mathematics Olympiad","5f^64*iqQD","student"
