"name","email","rollNo","schoolName","class","olympiadExam","password","userType"
"student1","student1@gmail.com","1","Delhi Public School","5","International Mathematics Olympiad","weCV2Vzjb$","student"
"student2","student2@gmail.com","2","Delhi Public School","5","International Mathematics Olympiad","YepDRPM%8i","student"
"student3","student3@gmail.com","3","Delhi Public School","5","International Mathematics Olympiad","cNYq5Sun!g","student"
"student4","student4@gmail.com","4","Delhi Public School","5","International Mathematics Olympiad","hnM5#7vK@C","student"
"student5","student5@gmail.com","5","Delhi Public School","5","International Mathematics Olympiad","Ece&iM5dqg","student"
"student6","student6@gmail.com","6","Delhi Public School","5","International Mathematics Olympiad","Hx#79Gp*@W","student"
"student7","student7@gmail.com","7","Delhi Public School","5","International Mathematics Olympiad","74Gm6@4yUy","student"
"student8","student8@gmail.com","8","Delhi Public School","5","International Mathematics Olympiad","CCc!7ft8kP","student"
"student9","student9@gmail.com","9","Delhi Public School","5","International Mathematics Olympiad","EmMN8eicW4","student"
"student10","student10@gmail.com","10","Delhi Public School","5","International Mathematics Olympiad","WiL9$F6^W8","student"
