"name","email","rollNo","schoolName","class","olympiadExam","password","userType","feeStatus"
"1student","1student@gmail.com","1","Delhi Public School","5","Science Olympiad","KqRf2rggZN","student","Unpaid"
"2student","2student@gmail.com","2","Delhi Public School","5","Science Olympiad","6zf93v#USg","student","Paid"
"3student","3student@gmail.com","3","Delhi Public School","5","Science Olympiad","WDW!Zs$9cf","student","Unpaid"
"4student","4student@gmail.com","4","Delhi Public School","5","Science Olympiad","UP^kS&7Nx2","student","Paid"
"5student","5student@gmail.com","5","Delhi Public School","5","Science Olympiad","XNn*Q%tT&#","student","Unpaid"
"6student","6student@gmail.com","6","Delhi Public School","5","Science Olympiad","F8GMyGp7&N","student","Paid"
"7student","7student@gmail.com","7","Delhi Public School","5","Science Olympiad","e7*kdyGkQH","student","Unpaid"
"8student","8student@gmail.com","8","Delhi Public School","5","Science Olympiad","Z98ugYQp3@","student","Paid"
"9student","9student@gmail.com","9","Delhi Public School","5","Science Olympiad","c6K2ntRfyq","student","Unpaid"
"10student","10student@gmail.com","10","Delhi Public School","5","Science Olympiad","UpJBBWuui$","student","Paid"
"11student","11student@gmail.com","11","Delhi Public School","5","Science Olympiad","^RLNCycuj^","student","Unpaid"
"12student","12student@gmail.com","12","Delhi Public School","5","Science Olympiad","T2F6y^!s6*","student","Paid"
"13student","13student@gmail.com","13","Delhi Public School","5","Science Olympiad","^@vHtYEeS7","student","Unpaid"
"14student","14student@gmail.com","14","Delhi Public School","5","Science Olympiad","VyGYUiiNBG","student","Paid"
"15student","15student@gmail.com","15","Delhi Public School","5","Science Olympiad","KMu!N3H8hY","student","Unpaid"
"16student","16student@gmail.com","16","Delhi Public School","5","Science Olympiad","U66Y&sUBnz","student","Paid"
"17student","17student@gmail.com","17","Delhi Public School","5","Science Olympiad","3Yv%6itPjy","student","Unpaid"
"18student","18student@gmail.com","18","Delhi Public School","5","Science Olympiad","pVrvRkK4^a","student","Paid"
"19student","19student@gmail.com","19","Delhi Public School","5","Science Olympiad","GVtV3^uaZ4","student","Unpaid"
"20student","20student@gmail.com","20","Delhi Public School","5","Science Olympiad","YKqXEGg9By","student","Paid"
"21student","21student@gmail.com","21","Delhi Public School","5","Science Olympiad","gxCAn8hy&a","student","Unpaid"
"22student","22student@gmail.com","22","Delhi Public School","5","Science Olympiad","bu!C5sx*r7","student","Paid"
"23student","23student@gmail.com","23","Delhi Public School","5","Science Olympiad","sFuNL*PhKt","student","Unpaid"
"24student","24student@gmail.com","24","Delhi Public School","5","Science Olympiad","&%@VGPf5CY","student","Paid"
"25student","25student@gmail.com","25","Delhi Public School","5","Science Olympiad","c3dNhc$eik","student","Unpaid"
"26student","26student@gmail.com","26","Delhi Public School","5","Science Olympiad","ebuTvPLppS","student","Paid"
"27student","27student@gmail.com","27","Delhi Public School","5","Science Olympiad","9hxd!9aNa%","student","Unpaid"
"28student","28student@gmail.com","28","Delhi Public School","5","Science Olympiad","d@@hfMXMVe","student","Paid"
"29student","29student@gmail.com","29","Delhi Public School","5","Science Olympiad","2vJQZK*6Um","student","Unpaid"
"30student","30student@gmail.com","30","Delhi Public School","5","Science Olympiad","jgrPqg8JuH","student","Paid"
"31student","31student@gmail.com","31","Delhi Public School","5","Science Olympiad","8XxAf3qw5M","student","Unpaid"
"32student","32student@gmail.com","32","Delhi Public School","5","Science Olympiad","TT$L3%BamZ","student","Paid"
"33student","33student@gmail.com","33","Delhi Public School","5","Science Olympiad","*6944tj5jm","student","Unpaid"
"34student","34student@gmail.com","34","Delhi Public School","5","Science Olympiad","Fe9nsCg#Se","student","Paid"
"35student","35student@gmail.com","35","Delhi Public School","5","Science Olympiad","xGvjx&kR$6","student","Unpaid"
"36student","36student@gmail.com","36","Delhi Public School","5","Science Olympiad","%PqBSm!p5!","student","Paid"
"37student","37student@gmail.com","37","Delhi Public School","5","Science Olympiad","#s!g7HJ#CA","student","Unpaid"
"38student","38student@gmail.com","38","Delhi Public School","5","Science Olympiad","^cB%^Y$$jx","student","Paid"
"39student","39student@gmail.com","39","Delhi Public School","5","Science Olympiad","PWKkg4AFYL","student","Unpaid"
"40student","40student@gmail.com","40","Delhi Public School","5","Science Olympiad","inYKwTz3TN","student","Paid"
"41student","41student@gmail.com","41","Delhi Public School","5","Science Olympiad","tqGiv^wvsm","student","Unpaid"
"42student","42student@gmail.com","42","Delhi Public School","5","Science Olympiad","d%9k*e7ttH","student","Paid"
"43student","43student@gmail.com","43","Delhi Public School","5","Science Olympiad","dxY!vBeT@x","student","Unpaid"
"44student","44student@gmail.com","44","Delhi Public School","5","Science Olympiad","hPaV2kvBFH","student","Paid"
