"name","email","rollNo","schoolName","class","olympiadExam","password","userType"
"student1","student1@gmail.com","1","Delhi Public School","5","International Mathematics Olympiad","EV%hd7RJjr","student"
"student2","student2@gmail.com","2","Delhi Public School","5","International Mathematics Olympiad","BNhEeHDipw","student"
"student3","student3@gmail.com","3","Delhi Public School","5","International Mathematics Olympiad","GtPTWFGyC^","student"
"student4","student4@gmail.com","4","Delhi Public School","5","International Mathematics Olympiad","GvxD5LftsR","student"
"student5","student5@gmail.com","5","Delhi Public School","5","International Mathematics Olympiad","sd4nNm!un9","student"
"student6","student6@gmail.com","6","Delhi Public School","5","International Mathematics Olympiad","fJqV7c3zHz","student"
"student7","student7@gmail.com","7","Delhi Public School","5","International Mathematics Olympiad","QEd#NfnkjB","student"
"student8","student8@gmail.com","8","Delhi Public School","5","International Mathematics Olympiad","9c&!KHyHAS","student"
"student9","student9@gmail.com","9","Delhi Public School","5","International Mathematics Olympiad","%B9vT8ysKZ","student"
"student10","student10@gmail.com","10","Delhi Public School","5","International Mathematics Olympiad","zFJMT@FV72","student"
