"name","email","rollNo","schoolName","class","olympiadExam","feeStatus","rawPassword"
"student1","student1@gmail.com","1","Delhi Public School","5","Science olympiad",,
"student3","student3@gmail.com","3","Delhi Public School","5","Science olympiad",,
"student10","student10@gmail.com","10","Delhi Public School","5","Science olympiad",,
"student11","student11@gmail.com","11","Delhi Public School","5","Science Olympiad",,
"student14","student14@gmail.com","14","Delhi Public School","5","Science olympiad",,
"student15","student15@gmail.com","15","Delhi Public School","5","Science Olympiad",,
"student17","student17@gmail.com","17","Delhi Public School","5","Science Olympiad",,
"student20","student20@gmail.com","20","Delhi Public School","5","Science olympiad",,
"student21","student21@gmail.com","21","Delhi Public School","5","Science Olympiad",,
"student24","student24@gmail.com","24","Delhi Public School","5","Science olympiad",,
"student25","student25@gmail.com","25","Delhi Public School","5","Science olympiad",,
"student28","student28@gmail.com","28","Delhi Public School","5","Science Olympiad",,
"student31","student31@gmail.com","31","Delhi Public School","5","Science olympiad",,
"student32","student32@gmail.com","32","Delhi Public School","5","Science Olympiad",,
"student33","student33@gmail.com","33","Delhi Public School","5","Science Olympiad",,
"student35","student35@gmail.com","35","Delhi Public School","5","Science olympiad",,
"student36","student36@gmail.com","36","Delhi Public School","5","Science olympiad",,
"student39","student39@gmail.com","39","Delhi Public School","5","Science Olympiad",,
"student40","student40@gmail.com","40","Delhi Public School","5","Science olympiad",,
"student41","student41@gmail.com","41","Delhi Public School","5","Science Olympiad",,
"student44","student44@gmail.com","44","Delhi Public School","5","Science olympiad",,
"student46","student46@gmail.com","46","Delhi Public School","5","Science olympiad",,
"student47","student47@gmail.com","47","Delhi Public School","5","Science olympiad",,
"student48","student48@gmail.com","48","Delhi Public School","5","Science olympiad",,
"student49","student49@gmail.com","49","Delhi Public School","5","Science Olympiad",,
"student51","student51@gmail.com","51","Delhi Public School","5","Science olympiad",,
"student52","student52@gmail.com","52","Delhi Public School","5","Science olympiad",,
"student54","student54@gmail.com","54","Delhi Public School","5","Science olympiad",,
"student55","student55@gmail.com","55","Delhi Public School","5","Science Olympiad",,
"student57","student57@gmail.com","57","Delhi Public School","5","Science Olympiad",,
"student60","student60@gmail.com","60","Delhi Public School","5","Science olympiad",,
"student61","student61@gmail.com","61","Delhi Public School","5","Science olympiad",,
"student62","student62@gmail.com","62","Delhi Public School","5","Science olympiad",,
"student64","student64@gmail.com","64","Delhi Public School","5","Science Olympiad",,
"student66","student66@gmail.com","66","Delhi Public School","5","Science Olympiad",,
"student73","student73@gmail.com","73","Delhi Public School","5","Science Olympiad",,
"student74","student74@gmail.com","74","Delhi Public School","5","Science Olympiad",,
"student75","student75@gmail.com","75","Delhi Public School","5","Science Olympiad",,
"student78","student78@gmail.com","78","Delhi Public School","5","Science olympiad",,
"student79","student79@gmail.com","79","Delhi Public School","5","Science olympiad",,
"student80","student80@gmail.com","80","Delhi Public School","5","Science Olympiad",,
"student81","student81@gmail.com","81","Delhi Public School","5","Science olympiad",,
"student83","student83@gmail.com","83","Delhi Public School","5","Science Olympiad",,
"student86","student86@gmail.com","86","Delhi Public School","5","Science Olympiad",,
"student90","student90@gmail.com","90","Delhi Public School","5","Science olympiad",,
"student91","student91@gmail.com","91","Delhi Public School","5","Science olympiad",,
"student93","student93@gmail.com","93","Delhi Public School","5","Science Olympiad",,
"student94","student94@gmail.com","94","Delhi Public School","5","Science olympiad",,
"student95","student95@gmail.com","95","Delhi Public School","5","Science Olympiad",,
"student96","student96@gmail.com","96","Delhi Public School","5","Science Olympiad",,
"student97","student97@gmail.com","97","Delhi Public School","5","Science olympiad",,
"student99","student99@gmail.com","99","Delhi Public School","5","Science Olympiad",,
"student2","student2@gmail.com","2","Delhi public school","5","Science olympiad",,
"student4","student4@gmail.com","4","Delhi public school","5","Science Olympiad",,
"student5","student5@gmail.com","5","Delhi public school","5","Science olympiad",,
"student6","student6@gmail.com","6","Delhi public school","5","Science Olympiad",,
"student7","student7@gmail.com","7","Delhi public school","5","Science olympiad",,
