"name","email","rollNo","schoolName","class","olympiadExam","feeStatus","rawPassword"
"1student","1student@gmail.com","1","Delhi Public School","5","Science Olympiad","Pending","UygtwCaa"
"2student","2student@gmail.com","2","Delhi Public School","5","Science Olympiad","Paid","yUXX3ypY"
"3student","3student@gmail.com","3","Delhi Public School","5","Science Olympiad","Pending","jJyMa0UJ"
"4student","4student@gmail.com","4","Delhi Public School","5","Science Olympiad","Paid","RTEhP3A2"
"5student","5student@gmail.com","5","Delhi Public School","5","Science Olympiad","Pending","wwTqIiZi"
"6student","6student@gmail.com","6","Delhi Public School","5","Science Olympiad","Paid","f77rWeig"
"7student","7student@gmail.com","7","Delhi Public School","5","Science Olympiad","Pending","vy696flZ"
"8student","8student@gmail.com","8","Delhi Public School","5","Science Olympiad","Paid","pRLvVVlU"
"9student","9student@gmail.com","9","Delhi Public School","5","Science Olympiad","Pending","cpfWQVPj"
"10student","10student@gmail.com","10","Delhi Public School","5","Science Olympiad","Paid","bM8dojBn"
"11student","11student@gmail.com","11","Delhi Public School","5","Science Olympiad","Pending","vbjO0z63"
"12student","12student@gmail.com","12","Delhi Public School","5","Science Olympiad","Paid","YrfGQlzY"
"13student","13student@gmail.com","13","Delhi Public School","5","Science Olympiad","Pending","tnUmgagj"
"14student","14student@gmail.com","14","Delhi Public School","5","Science Olympiad","Paid","u22PjI10"
"15student","15student@gmail.com","15","Delhi Public School","5","Science Olympiad","Pending","3Rlsj5fM"
"16student","16student@gmail.com","16","Delhi Public School","5","Science Olympiad","Paid","Ypi1rAIZ"
"17student","17student@gmail.com","17","Delhi Public School","5","Science Olympiad","Pending","sENj4LlW"
"18student","18student@gmail.com","18","Delhi Public School","5","Science Olympiad","Paid","QidyZPp2"
"19student","19student@gmail.com","19","Delhi Public School","5","Science Olympiad","Pending","Rb3rANwv"
"20student","20student@gmail.com","20","Delhi Public School","5","Science Olympiad","Paid","pX76RAzg"
"21student","21student@gmail.com","21","Delhi Public School","5","Science Olympiad","Pending","uXNNFpIE"
"22student","22student@gmail.com","22","Delhi Public School","5","Science Olympiad","Paid","yo5Mhf3f"
"23student","23student@gmail.com","23","Delhi Public School","5","Science Olympiad","Pending","vlt1he7d"
"24student","24student@gmail.com","24","Delhi Public School","5","Science Olympiad","Paid","eKE1wv0k"
"25student","25student@gmail.com","25","Delhi Public School","5","Science Olympiad","Pending","EkeR7Stw"
"26student","26student@gmail.com","26","Delhi Public School","5","Science Olympiad","Paid","lVyYUtTl"
"27student","27student@gmail.com","27","Delhi Public School","5","Science Olympiad","Pending","JWqEdAdS"
"28student","28student@gmail.com","28","Delhi Public School","5","Science Olympiad","Paid","AnchYjVj"
"29student","29student@gmail.com","29","Delhi Public School","5","Science Olympiad","Pending","w4gSX7KP"
"30student","30student@gmail.com","30","Delhi Public School","5","Science Olympiad","Paid","eIVeYLVV"
"31student","31student@gmail.com","31","Delhi Public School","5","Science Olympiad","Pending","DD1xnbW7"
"32student","32student@gmail.com","32","Delhi Public School","5","Science Olympiad","Paid","FMI9WN5d"
"33student","33student@gmail.com","33","Delhi Public School","5","Science Olympiad","Pending","7PPyxkSt"
"34student","34student@gmail.com","34","Delhi Public School","5","Science Olympiad","Paid","ETiF7Pz1"
"35student","35student@gmail.com","35","Delhi Public School","5","Science Olympiad","Pending","htLOug2G"
"36student","36student@gmail.com","36","Delhi Public School","5","Science Olympiad","Paid","V2RvdL4C"
"37student","37student@gmail.com","37","Delhi Public School","5","Science Olympiad","Pending","3LqaQ4Ff"
"38student","38student@gmail.com","38","Delhi Public School","5","Science Olympiad","Paid","1510unzQ"
"39student","39student@gmail.com","39","Delhi Public School","5","Science Olympiad","Pending","poMQLQ38"
"40student","40student@gmail.com","40","Delhi Public School","5","Science Olympiad","Paid","khcbXeNl"
"41student","41student@gmail.com","41","Delhi Public School","5","Science Olympiad","Pending","PHbgg5SE"
"42student","42student@gmail.com","42","Delhi Public School","5","Science Olympiad","Paid","ViwywD7e"
"43student","43student@gmail.com","43","Delhi Public School","5","Science Olympiad","Pending","XMX8TxZ6"
"44student","44student@gmail.com","44","Delhi Public School","5","Science Olympiad","Paid","qzvfyXjW"
"45student","45student@gmail.com","45","Delhi Public School","5","Science Olympiad","Pending","P56qajC9"
"46student","46student@gmail.com","46","Delhi Public School","5","Science Olympiad","Paid","Ivhj7Ewj"
"47student","47student@gmail.com","47","Delhi Public School","5","Science Olympiad","Pending","pTitIz8w"
"48student","48student@gmail.com","48","Delhi Public School","5","Science Olympiad","Paid","FH0ISkvM"
"49student","49student@gmail.com","49","Delhi Public School","5","Science Olympiad","Pending","fuNMQy3Q"
"50student","50student@gmail.com","50","Delhi Public School","5","Science Olympiad","Paid","b7SgOyj2"
"51student","51student@gmail.com","51","Delhi Public School","5","Science Olympiad","Pending","cR1ThUNq"
"52student","52student@gmail.com","52","Delhi Public School","5","Science Olympiad","Paid","UR8F8GC7"
"53student","53student@gmail.com","53","Delhi Public School","5","Science Olympiad","Pending","eUhIEQhu"
"54student","54student@gmail.com","54","Delhi Public School","5","Science Olympiad","Paid","13N1GV8e"
"55student","55student@gmail.com","55","Delhi Public School","5","Science Olympiad","Pending","2n9oNONi"
"56student","56student@gmail.com","56","Delhi Public School","5","Science Olympiad","Paid","gAEbU8Yv"
"57student","57student@gmail.com","57","Delhi Public School","5","Science Olympiad","Pending","RBZkye5a"
"58student","58student@gmail.com","58","Delhi Public School","5","Science Olympiad","Paid","UmvRZSpk"
"59student","59student@gmail.com","59","Delhi Public School","5","Science Olympiad","Pending","rq92vs1S"
"60student","60student@gmail.com","60","Delhi Public School","5","Science Olympiad","Paid","L0jzE8zU"
"61student","61student@gmail.com","61","Delhi Public School","5","Science Olympiad","Pending","Bh7R5tTY"
"62student","62student@gmail.com","62","Delhi Public School","5","Science Olympiad","Paid","0mw0GOCP"
"63student","63student@gmail.com","63","Delhi Public School","5","Science Olympiad","Pending","hoTF1eX2"
"64student","64student@gmail.com","64","Delhi Public School","5","Science Olympiad","Paid","yMen7dES"
"65student","65student@gmail.com","65","Delhi Public School","5","Science Olympiad","Pending","3GihHYq8"
"66student","66student@gmail.com","66","Delhi Public School","5","Science Olympiad","Paid","FtgGaLJo"
"67student","67student@gmail.com","67","Delhi Public School","5","Science Olympiad","Pending","kJ1yOvHM"
"68student","68student@gmail.com","68","Delhi Public School","5","Science Olympiad","Paid","ZCgR3f2B"
