"name","email","rollNo","schoolName","class","olympiadExam","password","userType"
"student1","student1@gmail.com","1","Delhi Public School","5","International Mathematics Olympiad","tyrHe2KhdU","student"
"student2","student2@gmail.com","2","Delhi Public School","5","International Mathematics Olympiad","aF%jF!iScs","student"
"student3","student3@gmail.com","3","Delhi Public School","5","International Mathematics Olympiad","hbnmpFeY4C","student"
"student4","student4@gmail.com","4","Delhi Public School","5","International Mathematics Olympiad","YXjXPVRz5P","student"
"student5","student5@gmail.com","5","Delhi Public School","5","International Mathematics Olympiad","kDP5JF2X*F","student"
"student6","student6@gmail.com","6","Delhi Public School","5","International Mathematics Olympiad","waS69gzQin","student"
"student7","student7@gmail.com","7","Delhi Public School","5","International Mathematics Olympiad","p4mebkLUiB","student"
"student8","student8@gmail.com","8","Delhi Public School","5","International Mathematics Olympiad","SbeqHhhqKd","student"
"student9","student9@gmail.com","9","Delhi Public School","5","International Mathematics Olympiad","4y$%q4w2gF","student"
"student10","student10@gmail.com","10","Delhi Public School","5","International Mathematics Olympiad","hhHaiRtgcR","student"
