"name","email","rollNo","schoolName","class","olympiadExam","password","userType"
"student1","student1@gmail.com","1","Delhi Public School","5","Science olympiad","iq4u7Ju#*h","student"
"student2","student2@gmail.com","2","Delhi public school","5","Science olympiad","8^eY5ed4G$","student"
"student3","student3@gmail.com","3","Delhi Public School","5","Science olympiad","kPQdAK7&aR","student"
"student4","student4@gmail.com","4","Delhi public school","5","Science Olympiad","bLe^niqA49","student"
"student5","student5@gmail.com","5","Delhi public school","5","Science olympiad","7cHzGwgQ*s","student"
"student6","student6@gmail.com","6","Delhi public school","5","Science Olympiad","ex!ye4dD@m","student"
"student7","student7@gmail.com","7","Delhi public school","5","Science olympiad","9cuM5bd2gE","student"
"student8","student8@gmail.com","8","Delhi public school","5","Science olympiad","mf2YaBvpsE","student"
"student9","student9@gmail.com","9","Delhi public school","5","Science Olympiad","^hEEN@MWCQ","student"
"student10","student10@gmail.com","10","Delhi Public School","5","Science olympiad","dth3u4!JSr","student"
"student11","student11@gmail.com","11","Delhi Public School","5","Science Olympiad","rZP4@sp4E%","student"
"student12","student12@gmail.com","12","Delhi public school","5","Science Olympiad","aSKjtap8zn","student"
"student13","student13@gmail.com","13","Delhi public school","5","Science olympiad","%VMPZhMQdv","student"
"student14","student14@gmail.com","14","Delhi Public School","5","Science olympiad","7VPbkyRZc4","student"
"student15","student15@gmail.com","15","Delhi Public School","5","Science Olympiad","PX3R@*Zxn9","student"
"student16","student16@gmail.com","16","Delhi public school","5","Science olympiad","sU&qb69tKF","student"
"student17","student17@gmail.com","17","Delhi Public School","5","Science Olympiad","eftKt6#Swp","student"
"student18","student18@gmail.com","18","Delhi public school","5","Science Olympiad","J2KS2G@vg#","student"
"student19","student19@gmail.com","19","Delhi public school","5","Science Olympiad","NEz*FF&&Pi","student"
"student20","student20@gmail.com","20","Delhi Public School","5","Science olympiad","PJG#Yyt^!!","student"
"student21","student21@gmail.com","21","Delhi Public School","5","Science Olympiad","SA3daXq%K4","student"
"student22","student22@gmail.com","22","Delhi public school","5","Science olympiad","6&prx!ex3R","student"
"student23","student23@gmail.com","23","Delhi public school","5","Science Olympiad","5ixG%Pk5kC","student"
"student24","student24@gmail.com","24","Delhi Public School","5","Science olympiad","X%cJTY3$su","student"
"student25","student25@gmail.com","25","Delhi Public School","5","Science olympiad","@L%k5Em$%A","student"
"student26","student26@gmail.com","26","Delhi public school","5","Science olympiad","Ex2Tb@GMG9","student"
"student27","student27@gmail.com","27","Delhi public school","5","Science olympiad","eZQj7JPFk2","student"
"student28","student28@gmail.com","28","Delhi Public School","5","Science Olympiad","CkK6@B2JbM","student"
"student29","student29@gmail.com","29","Delhi public school","5","Science olympiad","gu8bztSvit","student"
"student30","student30@gmail.com","30","Delhi public school","5","Science Olympiad","*!2DviPb39","student"
"student31","student31@gmail.com","31","Delhi Public School","5","Science olympiad","ULT#GNVRyj","student"
"student32","student32@gmail.com","32","Delhi Public School","5","Science Olympiad","@XMz$CF78v","student"
"student33","student33@gmail.com","33","Delhi Public School","5","Science Olympiad","Df4!KG9G3N","student"
"student34","student34@gmail.com","34","Delhi public school","5","Science olympiad","kYfdXvJNYL","student"
"student35","student35@gmail.com","35","Delhi Public School","5","Science olympiad","VYa#Px!d82","student"
"student36","student36@gmail.com","36","Delhi Public School","5","Science olympiad","QwZPH^s^g!","student"
"student37","student37@gmail.com","37","Delhi public school","5","Science Olympiad","U#GjUe&KyZ","student"
"student38","student38@gmail.com","38","Delhi public school","5","Science Olympiad","CVpA8xkDFw","student"
"student39","student39@gmail.com","39","Delhi Public School","5","Science Olympiad","C@U5nt7D#y","student"
"student40","student40@gmail.com","40","Delhi Public School","5","Science olympiad","yB6CZc@EUb","student"
"student41","student41@gmail.com","41","Delhi Public School","5","Science Olympiad","T$Ywc2gWyY","student"
"student42","student42@gmail.com","42","Delhi public school","5","Science olympiad","D$pj^#Q52%","student"
"student43","student43@gmail.com","43","Delhi public school","5","Science olympiad","qm2Dyaq7xJ","student"
"student44","student44@gmail.com","44","Delhi Public School","5","Science olympiad","9^taH%a$Lc","student"
"student45","student45@gmail.com","45","Delhi public school","5","Science olympiad","M9B6ibkL&K","student"
"student46","student46@gmail.com","46","Delhi Public School","5","Science olympiad","R828B5%Rni","student"
"student47","student47@gmail.com","47","Delhi Public School","5","Science olympiad","NegxEh9aFL","student"
"student48","student48@gmail.com","48","Delhi Public School","5","Science olympiad","AGB^^T43dF","student"
"student49","student49@gmail.com","49","Delhi Public School","5","Science Olympiad","eX^Kr*7m#N","student"
"student50","student50@gmail.com","50","Delhi public school","5","Science olympiad","GvKGwAA6PP","student"
"student51","student51@gmail.com","51","Delhi Public School","5","Science olympiad","Mfaa&wrfSm","student"
"student52","student52@gmail.com","52","Delhi Public School","5","Science olympiad","kfhPMUP$CC","student"
"student53","student53@gmail.com","53","Delhi public school","5","Science Olympiad","wG9kUbm!^v","student"
"student54","student54@gmail.com","54","Delhi Public School","5","Science olympiad","PY&TudhR&Z","student"
"student55","student55@gmail.com","55","Delhi Public School","5","Science Olympiad","zqXWGPU9pG","student"
"student56","student56@gmail.com","56","Delhi public school","5","Science olympiad","yT@UGp^vGA","student"
"student57","student57@gmail.com","57","Delhi Public School","5","Science Olympiad","VCQ*%*&97S","student"
"student58","student58@gmail.com","58","Delhi public school","5","Science Olympiad","y%6D%KesW4","student"
"student59","student59@gmail.com","59","Delhi public school","5","Science olympiad","V39hR$AL&S","student"
"student60","student60@gmail.com","60","Delhi Public School","5","Science olympiad","Vxs5gVH^i8","student"
"student61","student61@gmail.com","61","Delhi Public School","5","Science olympiad","d86@Lgm666","student"
"student62","student62@gmail.com","62","Delhi Public School","5","Science olympiad","2URXS^i9L7","student"
"student63","student63@gmail.com","63","Delhi public school","5","Science olympiad","GbVB$qX&eT","student"
"student64","student64@gmail.com","64","Delhi Public School","5","Science Olympiad","Vwhwcpah4d","student"
"student65","student65@gmail.com","65","Delhi public school","5","Science olympiad","G8mRZkaDmr","student"
"student66","student66@gmail.com","66","Delhi Public School","5","Science Olympiad","@jtd5%pUZX","student"
"student67","student67@gmail.com","67","Delhi public school","5","Science olympiad","KD2SzdfSBH","student"
"student68","student68@gmail.com","68","Delhi public school","5","Science Olympiad","WzE*mJZ#bS","student"
"student69","student69@gmail.com","69","Delhi public school","5","Science olympiad","bDQi8yw4PW","student"
"student70","student70@gmail.com","70","Delhi public school","5","Science olympiad","8*mz8S2CeY","student"
"student71","student71@gmail.com","71","Delhi public school","5","Science Olympiad","Ux#2BCDcR3","student"
