"name","email","rollNo","schoolName","class","olympiadExam","password","userType"
"student1","student1@gmail.com","1","Delhi Public School","5","Science olympiad","3wziGMm#VH","student"
"student2","student2@gmail.com","2","Delhi public school","5","Science olympiad","cLRRKQpej2","student"
"student3","student3@gmail.com","3","Delhi Public School","5","Science olympiad","$9ir5#u8cS","student"
"student4","student4@gmail.com","4","Delhi public school","5","Science Olympiad","J^fYaqFHkf","student"
"student5","student5@gmail.com","5","Delhi public school","5","Science olympiad","$s&UhBxRLt","student"
"student6","student6@gmail.com","6","Delhi public school","5","Science Olympiad","fZZA7Fyg6P","student"
"student7","student7@gmail.com","7","Delhi public school","5","Science olympiad","dFGCSHXq9#","student"
"student8","student8@gmail.com","8","Delhi public school","5","Science olympiad","XezKQmtbTZ","student"
"student9","student9@gmail.com","9","Delhi public school","5","Science Olympiad","J77&vfZt9L","student"
"student10","student10@gmail.com","10","Delhi Public School","5","Science olympiad","yFG2Y$^^F*","student"
"student11","student11@gmail.com","11","Delhi Public School","5","Science Olympiad","%6mkrndP$^","student"
"student12","student12@gmail.com","12","Delhi public school","5","Science Olympiad","kshcMymHkF","student"
"student13","student13@gmail.com","13","Delhi public school","5","Science olympiad","z4tFqkB!8G","student"
"student14","student14@gmail.com","14","Delhi Public School","5","Science olympiad","3B&nvXRVTj","student"
"student15","student15@gmail.com","15","Delhi Public School","5","Science Olympiad","&Aj8bM9gdC","student"
"student16","student16@gmail.com","16","Delhi public school","5","Science olympiad","UKAR6Yppb%","student"
"student17","student17@gmail.com","17","Delhi Public School","5","Science Olympiad","Sv#uKrNszx","student"
"student18","student18@gmail.com","18","Delhi public school","5","Science Olympiad","R$!uuEAEpc","student"
"student19","student19@gmail.com","19","Delhi public school","5","Science Olympiad","%T!Dp*NnJZ","student"
"student20","student20@gmail.com","20","Delhi Public School","5","Science olympiad","5ECgT6SzVn","student"
"student21","student21@gmail.com","21","Delhi Public School","5","Science Olympiad","VjQED3$^N7","student"
"student22","student22@gmail.com","22","Delhi public school","5","Science olympiad","gPT757DMPb","student"
"student23","student23@gmail.com","23","Delhi public school","5","Science Olympiad","prF!2gqE8U","student"
"student24","student24@gmail.com","24","Delhi Public School","5","Science olympiad","P#4PzQ$#@e","student"
"student25","student25@gmail.com","25","Delhi Public School","5","Science olympiad","Q7hGQr6ZHj","student"
"student26","student26@gmail.com","26","Delhi public school","5","Science olympiad","W#4SJs$8G9","student"
"student27","student27@gmail.com","27","Delhi public school","5","Science olympiad","FubDd&Td&z","student"
"student28","student28@gmail.com","28","Delhi Public School","5","Science Olympiad","F@vNgJXCcg","student"
"student29","student29@gmail.com","29","Delhi public school","5","Science olympiad","egRqcYntcK","student"
"student30","student30@gmail.com","30","Delhi public school","5","Science Olympiad","u%vxJGyL^$","student"
"student31","student31@gmail.com","31","Delhi Public School","5","Science olympiad","sKgbELbnYK","student"
"student32","student32@gmail.com","32","Delhi Public School","5","Science Olympiad","9Quzndm36C","student"
"student33","student33@gmail.com","33","Delhi Public School","5","Science Olympiad","rpBiTZn&4r","student"
