"name","email","rollNo","schoolName","class","olympiadExam","password","userType"
"student1","student1@gmail.com","1","Delhi Public School","5","Science olympiad","cn!YYXRt%i","student"
"student2","student2@gmail.com","2","Delhi public school","5","Science olympiad","ZVJ*t$iMYC","student"
"student3","student3@gmail.com","3","Delhi Public School","5","Science olympiad","!pQp9@WTb2","student"
"student4","student4@gmail.com","4","Delhi public school","5","Science Olympiad","NzPpeaPAT!","student"
"student5","student5@gmail.com","5","Delhi public school","5","Science olympiad","LhYBNcRbyF","student"
"student6","student6@gmail.com","6","Delhi public school","5","Science Olympiad","3Zz%YiXcYE","student"
"student7","student7@gmail.com","7","Delhi public school","5","Science olympiad","sYbV&6%M2Y","student"
"student8","student8@gmail.com","8","Delhi public school","5","Science olympiad","kgax7CQj5Z","student"
"student9","student9@gmail.com","9","Delhi public school","5","Science Olympiad","MUap$Phyq2","student"
"student10","student10@gmail.com","10","Delhi Public School","5","Science olympiad","XWg845n$y#","student"
"student11","student11@gmail.com","11","Delhi Public School","5","Science Olympiad","kxdnUfr9Ay","student"
"student12","student12@gmail.com","12","Delhi public school","5","Science Olympiad","gPb#3gEtfT","student"
"student13","student13@gmail.com","13","Delhi public school","5","Science olympiad","FbBQeizhtw","student"
"student14","student14@gmail.com","14","Delhi Public School","5","Science olympiad","3c2rj#iBws","student"
"student15","student15@gmail.com","15","Delhi Public School","5","Science Olympiad","MC8pC#*aBD","student"
"student16","student16@gmail.com","16","Delhi public school","5","Science olympiad","s3T#P7A@pL","student"
"student17","student17@gmail.com","17","Delhi Public School","5","Science Olympiad","v8sGUdyz!Q","student"
"student18","student18@gmail.com","18","Delhi public school","5","Science Olympiad","zdA%@BAtGs","student"
"student19","student19@gmail.com","19","Delhi public school","5","Science Olympiad","CSveDqhXzN","student"
"student20","student20@gmail.com","20","Delhi Public School","5","Science olympiad","v@WVGnkr*R","student"
"student21","student21@gmail.com","21","Delhi Public School","5","Science Olympiad","cYB&zRu5Vv","student"
"student22","student22@gmail.com","22","Delhi public school","5","Science olympiad","zg#P&Db!y$","student"
"student23","student23@gmail.com","23","Delhi public school","5","Science Olympiad","euLnZDt%Ha","student"
"student24","student24@gmail.com","24","Delhi Public School","5","Science olympiad","g!GsC%Dzw7","student"
"student25","student25@gmail.com","25","Delhi Public School","5","Science olympiad","#gRYqPBj5C","student"
"student26","student26@gmail.com","26","Delhi public school","5","Science olympiad","MUbcM3fza$","student"
"student27","student27@gmail.com","27","Delhi public school","5","Science olympiad","jFYQ^%4N6E","student"
"student28","student28@gmail.com","28","Delhi Public School","5","Science Olympiad","PAJKxCtVta","student"
"student29","student29@gmail.com","29","Delhi public school","5","Science olympiad","5zQXc3rJCs","student"
"student30","student30@gmail.com","30","Delhi public school","5","Science Olympiad","u#%7y&8UJ9","student"
"student31","student31@gmail.com","31","Delhi Public School","5","Science olympiad","X8!L2G2Lx8","student"
"student32","student32@gmail.com","32","Delhi Public School","5","Science Olympiad","x8M5!a45NN","student"
"student33","student33@gmail.com","33","Delhi Public School","5","Science Olympiad","N4ja5*%JXS","student"
"student34","student34@gmail.com","34","Delhi public school","5","Science olympiad","X*3nfC4XFJ","student"
"student35","student35@gmail.com","35","Delhi Public School","5","Science olympiad","XPqZYZsc62","student"
"student36","student36@gmail.com","36","Delhi Public School","5","Science olympiad","238yX@6sHz","student"
"student37","student37@gmail.com","37","Delhi public school","5","Science Olympiad","mMNeXbE!ZC","student"
"student38","student38@gmail.com","38","Delhi public school","5","Science Olympiad","Ebyj7U*Yib","student"
"student39","student39@gmail.com","39","Delhi Public School","5","Science Olympiad","#&rL7pRst4","student"
"student40","student40@gmail.com","40","Delhi Public School","5","Science olympiad","P#BzjxX9b7","student"
"student41","student41@gmail.com","41","Delhi Public School","5","Science Olympiad","36X#e$h*iw","student"
"student42","student42@gmail.com","42","Delhi public school","5","Science olympiad","c@RpKzdWM#","student"
"student43","student43@gmail.com","43","Delhi public school","5","Science olympiad","pHRbAgDZE$","student"
"student44","student44@gmail.com","44","Delhi Public School","5","Science olympiad","DLzjaF34VU","student"
"student45","student45@gmail.com","45","Delhi public school","5","Science olympiad","kqpepBBQ$c","student"
