"name","email","rollNo","schoolName","class","olympiadExam","password","userType"
"student1","student1@gmail.com","1","Delhi Public School","5","Science olympiad","wdW*KPgdyu","student"
"student2","student2@gmail.com","2","Delhi public school","5","Science olympiad","$Jy@!P!PAe","student"
"student3","student3@gmail.com","3","Delhi Public School","5","Science olympiad","BzFWLAjfJn","student"
"student4","student4@gmail.com","4","Delhi public school","5","Science Olympiad","X8UsHjkp$P","student"
"student5","student5@gmail.com","5","Delhi public school","5","Science olympiad","c^Gmu8%FG!","student"
"student6","student6@gmail.com","6","Delhi public school","5","Science Olympiad","ET*JMHMiH2","student"
"student7","student7@gmail.com","7","Delhi public school","5","Science olympiad","G!DRxhQexD","student"
"student8","student8@gmail.com","8","Delhi public school","5","Science olympiad","Bqq7R#ZP*e","student"
"student9","student9@gmail.com","9","Delhi public school","5","Science Olympiad","tsXncQeH&D","student"
"student10","student10@gmail.com","10","Delhi Public School","5","Science olympiad","6hB5r*QkuQ","student"
"student11","student11@gmail.com","11","Delhi Public School","5","Science Olympiad","SQNBE9k&GG","student"
"student12","student12@gmail.com","12","Delhi public school","5","Science Olympiad","QK5d6y%Dkw","student"
"student13","student13@gmail.com","13","Delhi public school","5","Science olympiad","UtrHfs^ztX","student"
"student14","student14@gmail.com","14","Delhi Public School","5","Science olympiad","@KQZQEjLxV","student"
"student15","student15@gmail.com","15","Delhi Public School","5","Science Olympiad","^j6Qs6U%Wf","student"
"student16","student16@gmail.com","16","Delhi public school","5","Science olympiad","xNAm2pdpqg","student"
"student17","student17@gmail.com","17","Delhi Public School","5","Science Olympiad","^aVNzf2EiW","student"
"student18","student18@gmail.com","18","Delhi public school","5","Science Olympiad","RV@sX@x6Xi","student"
"student19","student19@gmail.com","19","Delhi public school","5","Science Olympiad","MGey$H8%6y","student"
"student20","student20@gmail.com","20","Delhi Public School","5","Science olympiad","#UqqL9FbhW","student"
"student21","student21@gmail.com","21","Delhi Public School","5","Science Olympiad","qfNRh3@Hk^","student"
"student22","student22@gmail.com","22","Delhi public school","5","Science olympiad","VVA97Tf^Mt","student"
"student23","student23@gmail.com","23","Delhi public school","5","Science Olympiad","2x6tQuqXbU","student"
"student24","student24@gmail.com","24","Delhi Public School","5","Science olympiad","%6QWDnVQRL","student"
"student25","student25@gmail.com","25","Delhi Public School","5","Science olympiad","gsti8X&VJB","student"
"student26","student26@gmail.com","26","Delhi public school","5","Science olympiad","r&JbMpEjq*","student"
"student27","student27@gmail.com","27","Delhi public school","5","Science olympiad","qh#Y4z#whk","student"
"student28","student28@gmail.com","28","Delhi Public School","5","Science Olympiad","xfK#9Aqf8e","student"
"student29","student29@gmail.com","29","Delhi public school","5","Science olympiad","MfPs%tf@Pa","student"
"student30","student30@gmail.com","30","Delhi public school","5","Science Olympiad","cy3MxBVKDC","student"
"student31","student31@gmail.com","31","Delhi Public School","5","Science olympiad","D7Wf%WTYjR","student"
"student32","student32@gmail.com","32","Delhi Public School","5","Science Olympiad","vu3pBsbs$&","student"
"student33","student33@gmail.com","33","Delhi Public School","5","Science Olympiad","C8Wm!eC3wj","student"
"student34","student34@gmail.com","34","Delhi public school","5","Science olympiad","Mu3g5mVbLv","student"
"student35","student35@gmail.com","35","Delhi Public School","5","Science olympiad","r3f^bsFKPr","student"
"student36","student36@gmail.com","36","Delhi Public School","5","Science olympiad","5s$q@Gky#n","student"
"student37","student37@gmail.com","37","Delhi public school","5","Science Olympiad","TbNQC4dmMk","student"
"student38","student38@gmail.com","38","Delhi public school","5","Science Olympiad","8inS$C85#t","student"
"student39","student39@gmail.com","39","Delhi Public School","5","Science Olympiad","nQ!^hHgy!e","student"
"student40","student40@gmail.com","40","Delhi Public School","5","Science olympiad","zp32rYHQ3K","student"
"student41","student41@gmail.com","41","Delhi Public School","5","Science Olympiad","UFPHEMBp*B","student"
"student42","student42@gmail.com","42","Delhi public school","5","Science olympiad","77S!jac973","student"
"student43","student43@gmail.com","43","Delhi public school","5","Science olympiad","E*KnQmb6%A","student"
"student44","student44@gmail.com","44","Delhi Public School","5","Science olympiad","#maTLmHTSR","student"
"student45","student45@gmail.com","45","Delhi public school","5","Science olympiad","yJbber2JEg","student"
"student46","student46@gmail.com","46","Delhi Public School","5","Science olympiad","XG%t2dpSeA","student"
"student47","student47@gmail.com","47","Delhi Public School","5","Science olympiad","TjRgNMunHR","student"
"student48","student48@gmail.com","48","Delhi Public School","5","Science olympiad","UQD*yaJy@a","student"
"student49","student49@gmail.com","49","Delhi Public School","5","Science Olympiad","jgyAVUZgh@","student"
"student50","student50@gmail.com","50","Delhi public school","5","Science olympiad","u24@8kY@EV","student"
"student51","student51@gmail.com","51","Delhi Public School","5","Science olympiad","f@7xgi6Zi*","student"
"student52","student52@gmail.com","52","Delhi Public School","5","Science olympiad","ZMVpcf$Quq","student"
"student53","student53@gmail.com","53","Delhi public school","5","Science Olympiad","Jxj#AGDg4J","student"
"student54","student54@gmail.com","54","Delhi Public School","5","Science olympiad","yYeQeaC4bR","student"
"student55","student55@gmail.com","55","Delhi Public School","5","Science Olympiad","bw9TT$Vm#Z","student"
"student56","student56@gmail.com","56","Delhi public school","5","Science olympiad","Qc7tpuj5Cy","student"
"student57","student57@gmail.com","57","Delhi Public School","5","Science Olympiad","JUhi&kjAxP","student"
"student58","student58@gmail.com","58","Delhi public school","5","Science Olympiad","yyMLNbwPcZ","student"
"student59","student59@gmail.com","59","Delhi public school","5","Science olympiad","9$q^6w@4#P","student"
"student60","student60@gmail.com","60","Delhi Public School","5","Science olympiad","X!a!2ysJSr","student"
"student61","student61@gmail.com","61","Delhi Public School","5","Science olympiad","KWZ3%mcuQ3","student"
"student62","student62@gmail.com","62","Delhi Public School","5","Science olympiad","tmAjaGHSPR","student"
"student63","student63@gmail.com","63","Delhi public school","5","Science olympiad","n4kyWvyGPb","student"
"student64","student64@gmail.com","64","Delhi Public School","5","Science Olympiad","AcSK!Jptkn","student"
"student65","student65@gmail.com","65","Delhi public school","5","Science olympiad","V@gfXyv4fi","student"
"student66","student66@gmail.com","66","Delhi Public School","5","Science Olympiad","xZtm@AaXD&","student"
"student67","student67@gmail.com","67","Delhi public school","5","Science olympiad","KmjpxCLNZf","student"
"student68","student68@gmail.com","68","Delhi public school","5","Science Olympiad","4cy3duAYKD","student"
"student69","student69@gmail.com","69","Delhi public school","5","Science olympiad","UP!%Ua259x","student"
"student70","student70@gmail.com","70","Delhi public school","5","Science olympiad","GA6Cnmi#FG","student"
"student71","student71@gmail.com","71","Delhi public school","5","Science Olympiad","J6iHkw6j5S","student"
"student72","student72@gmail.com","72","Delhi public school","5","Science Olympiad","bN9MSzgpEg","student"
"student73","student73@gmail.com","73","Delhi Public School","5","Science Olympiad","ACGt47cG!T","student"
"student74","student74@gmail.com","74","Delhi Public School","5","Science Olympiad","!dNyDuBdw%","student"
"student75","student75@gmail.com","75","Delhi Public School","5","Science Olympiad","QcMeeCv4Uj","student"
"student76","student76@gmail.com","76","Delhi public school","5","Science Olympiad","DWWY&gT5EY","student"
"student77","student77@gmail.com","77","Delhi public school","5","Science Olympiad","2bkKB#ymf$","student"
"student78","student78@gmail.com","78","Delhi Public School","5","Science olympiad","$TSPS%jW%^","student"
"student79","student79@gmail.com","79","Delhi Public School","5","Science olympiad","tWc#Q3p3ez","student"
"student80","student80@gmail.com","80","Delhi Public School","5","Science Olympiad","REC2vf&V43","student"
"student81","student81@gmail.com","81","Delhi Public School","5","Science olympiad","PwiebEE!aN","student"
"student82","student82@gmail.com","82","Delhi public school","5","Science Olympiad","kVKsXiuqum","student"
"student83","student83@gmail.com","83","Delhi Public School","5","Science Olympiad","KqETL!eqa6","student"
"student84","student84@gmail.com","84","Delhi public school","5","Science olympiad","VdWPR5a7y8","student"
"student85","student85@gmail.com","85","Delhi public school","5","Science Olympiad","M&DbG3w8jv","student"
"student86","student86@gmail.com","86","Delhi Public School","5","Science Olympiad","*cbTa7XGsY","student"
"student87","student87@gmail.com","87","Delhi public school","5","Science olympiad","ETSSVfeZ2X","student"
"student88","student88@gmail.com","88","Delhi public school","5","Science olympiad","geGJtU5Q@6","student"
"student89","student89@gmail.com","89","Delhi public school","5","Science olympiad","ZT4hS5NiYq","student"
"student90","student90@gmail.com","90","Delhi Public School","5","Science olympiad","$@UeEBN%AB","student"
"student91","student91@gmail.com","91","Delhi Public School","5","Science olympiad","FyBQshswXZ","student"
"student92","student92@gmail.com","92","Delhi public school","5","Science Olympiad","L^9G3#iyG$","student"
"student93","student93@gmail.com","93","Delhi Public School","5","Science Olympiad","&#7cyNzCSe","student"
"student94","student94@gmail.com","94","Delhi Public School","5","Science olympiad","CV9CdWK7Fh","student"
"student95","student95@gmail.com","95","Delhi Public School","5","Science Olympiad","pp4dDdNqQ^","student"
"student96","student96@gmail.com","96","Delhi Public School","5","Science Olympiad","hMt%M9rE9V","student"
"student97","student97@gmail.com","97","Delhi Public School","5","Science olympiad","$uznqP@6Rv","student"
"student98","student98@gmail.com","98","Delhi public school","5","Science Olympiad","ABFfJbQtBX","student"
"student99","student99@gmail.com","99","Delhi Public School","5","Science Olympiad","6QTcpqZjY4","student"
"student100","student100@gmail.com","100","Delhi public school","5","Science olympiad","h@s@hMGYrA","student"
